trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
211	0	rdw	left	-1.672	2.125	left	5	-3.182	-1	442	0	307	1504	1946	1561	0	42	2951		677.295
212	198	rdw	right	2.101	6.227	right	39	4.733	1	583	1	308	1222	1805	1562	0	325	2810		680.263
213	153	rdw	right	1.229	2.32	right	5	4.069	1	474	0	308	1512	1986	1569	0	42	2991		683.09
214	70	rdw	left	-1.926	4.487	right	20	4.387	1	574	0	308	1386	1960	1569	0	167	2965		686.098
215	123	rdw	right	2.056	4.699	left	22	-3.118	1	627	0	305	1363	1990	1562	0	183	2996		689.077
216	64	rdw	left	-1.583	3.228	right	10	4.674	1	450	0	306	1503	1953	1601	0	83	2959		692.081
217	44	rdw	left	-1.816	6.152	left	38	-4.335	1	984	0	306	1242	2226	1574	0	317	3231		695.049
218	163	rdw	right	1.629	3.238	right	11	7.675	1	495	0	309	1461	1956	1565	0	92	2961		698.297
219	28	rdw	left	-1.983	4.508	left	20	-4.197	-1	560	0	308	1376	1936	1555	0	167	2941		701.274
220	40	rdw	left	-2.137	6.102	left	37	-2.857	1	946	0	308	1239	2185	1560	0	308	3191		704.232
221	108	rdw	right	2.027	2.567	left	7	-4.044	-1	547	0	308	1470	2017	1542	0	58	3023		707.44
222	155	rdw	right	2.123	2.129	right	5	3.169	1	459	1	309	1519	1978	1576	0	42	2984		710.481
223	156	rdw	right	2.375	2.81	right	8	5.006	1	635	0	309	1487	2122	1572	0	67	3128		713.482
224	25	rdw	left	-1.971	4.243	left	18	-3.981	-1	594	0	308	1400	1994	1565	0	150	2999		716.627
225	23	rdw	left	-2.217	4.012	left	16	-3.328	-1	589	0	307	1426	2015	1572	0	133	3021		719.643
226	184	rdw	right	2.325	5.238	right	27	4.616	1	633	0	308	1323	1956	1561	0	225	2962		722.681
227	147	rdw	right	1.346	6.31	left	40	-3.058	-1	773	0	308	1225	1998	1574	0	333	3003		725.66
