# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	acc_lv	same_side_as_lv	same_side_as_ms
26	156	rdw	RR	same	rdw_same	right	2.375	2.81	right	8	5.006	1	0	0.122	1	1	1
26	99	rdw	LR	different	rdw_different	left	-1.186	6.295	right	40	3.668	1	0	0.393	1	1	0
26	55	rdw	LR	different	rdw_different	left	-1.076	2.085	right	4	4.474	-1	1	0.197	0	0	1
26	12	rdw	LL	same	rdw_same	left	-1.311	3.437	left	12	-3.281	-1	1	0.281	1	1	1
26	171	rdw	RR	same	rdw_same	right	2.081	4.839	right	24	11.931	1	0	0.422	1	1	1
26	181	rdw	RR	same	rdw_same	right	2.689	5.667	right	33	13.897	1	0	0.342	1	1	1
26	160	rdw	RR	same	rdw_same	right	1.646	3.03	right	9	6.579	1	0	0.314	1	1	1
26	82	rdw	LR	different	rdw_different	left	-0.915	5.411	right	29	4.576	1	0	0.352	1	1	0
26	155	rdw	RR	same	rdw_same	right	2.123	2.129	right	5	3.169	1	0	0.189	1	1	1
26	138	rdw	RL	different	rdw_different	right	1.027	5.533	left	31	-3.742	-1	1	0.359	1	1	0
26	116	rdw	RL	different	rdw_different	right	2.091	3.596	left	13	-5.348	-1	1	0.254	1	1	0
26	167	rdw	RR	same	rdw_same	right	2.376	3.95	right	16	7.381	1	0	0.335	1	1	1
26	151	rdw	RR	same	rdw_same	right	1.432	2.804	right	8	3.469	1	0	0.243	1	1	1
26	189	rdw	RR	same	rdw_same	right	2.719	5.571	right	31	10.583	1	0	0.416	1	1	1
26	1	rdw	LL	same	rdw_same	left	-1.432	2.804	left	8	-3.469	-1	1	0.296	1	1	1
26	168	rdw	RR	same	rdw_same	right	1.853	3.209	right	10	4.809	1	0	0.408	1	1	1
26	92	rdw	LR	different	rdw_different	left	-1.12	6.035	right	36	5.179	1	0	0.437	1	1	0
26	41	rdw	LL	same	rdw_same	left	-2.078	6.196	left	38	-11.804	-1	1	0.483	1	1	1
26	45	rdw	LL	same	rdw_same	left	-0.81	6.405	left	41	-10.068	-1	1	0.43	1	1	1
26	11	rdw	LL	same	rdw_same	left	-1.454	3.202	left	10	-2.972	-1	1	0.233	1	1	1
26	19	rdw	LL	same	rdw_same	left	-1.394	3.481	left	12	-5.649	-1	1	0.203	1	1	1
26	66	rdw	LR	different	rdw_different	left	-2.091	3.596	right	13	5.348	1	0	0.264	1	1	0
26	39	rdw	LL	same	rdw_same	left	-2.719	5.571	left	31	-10.583	-1	1	0.367	1	1	1
26	185	rdw	RR	same	rdw_same	right	2.32	5.071	right	26	7.877	1	0	0.723	1	1	1
26	23	rdw	LL	same	rdw_same	left	-2.217	4.012	left	16	-3.328	-1	1	0.445	1	1	1
26	131	rdw	RL	different	rdw_different	right	1.773	5.602	left	31	-12.73	-1	1	0.314	1	1	0
26	182	rdw	RR	same	rdw_same	right	2.179	5.057	right	26	5.865	1	0	0.398	1	1	1
26	70	rdw	LR	different	rdw_different	left	-1.926	4.487	right	20	4.387	1	0	0.239	1	1	0
26	5	rdw	LL	same	rdw_same	left	-2.123	2.129	left	5	-3.169	-1	1	0.539	1	1	1
26	33	rdw	LL	same	rdw_same	left	-2.547	5.207	left	27	-4.706	-1	1	0.529	1	1	1
26	81	rdw	LR	different	rdw_different	left	-1.773	5.602	right	31	12.73	1	0	0.49	1	1	0
26	31	rdw	LL	same	rdw_same	left	-2.689	5.667	left	33	-13.897	-1	1	0.52	1	1	1
26	59	rdw	LR	different	rdw_different	left	-1.193	2.511	right	6	2.767	1	0	0.596	1	1	0
26	166	rdw	RR	same	rdw_same	right	1.331	3.134	right	10	7.001	1	0	0.328	1	1	1
26	103	rdw	RL	different	rdw_different	right	0.961	2.657	left	7	-2.843	-1	1	0.378	1	1	0
26	63	rdw	LR	different	rdw_different	left	-1.892	3.745	right	14	4.613	1	0	0.532	1	1	0
26	78	rdw	LR	different	rdw_different	left	-0.87	4.088	right	17	2.599	1	0	0.5	1	1	0
26	108	rdw	RL	different	rdw_different	right	2.027	2.567	left	7	-4.044	-1	1	0.433	1	1	0
26	124	rdw	RL	different	rdw_different	right	1.906	4.326	left	19	-4.242	-1	1	0.385	1	1	0
26	194	rdw	RR	same	rdw_same	right	1.816	6.152	right	38	4.335	1	0	0.678	1	1	1
26	141	rdw	RL	different	rdw_different	right	1.575	6.045	left	37	-3.812	-1	1	0.487	1	1	0
26	8	rdw	LL	same	rdw_same	left	-1.147	2.092	left	4	-3.873	-1	1	0.381	1	1	1
26	197	rdw	RR	same	rdw_same	right	2.158	6.978	right	49	5.806	-1	1	0.563	0	0	0
26	152	rdw	RR	same	rdw_same	right	2.413	2.537	right	6	6.728	1	0	0.316	1	1	1
26	126	rdw	RL	different	rdw_different	right	1.794	4.732	left	22	-6.096	-1	1	0.374	1	1	0
26	40	rdw	LL	same	rdw_same	left	-2.137	6.102	left	37	-2.857	-1	1	0.508	1	1	1
26	134	rdw	RL	different	rdw_different	right	1.581	5.468	left	30	-3.437	-1	1	0.359	1	1	0
26	83	rdw	LR	different	rdw_different	left	-1.014	5.344	right	29	3.279	1	0	0.701	1	1	0
26	14	rdw	LL	same	rdw_same	left	-2.465	3.163	left	10	-5.991	-1	1	0.233	1	1	1
26	85	rdw	LR	different	rdw_different	left	-1.907	4.917	right	24	2.755	-1	1	0.262	0	0	1
26	175	rdw	RR	same	rdw_same	right	1.971	4.243	right	18	3.981	1	0	0.372	1	1	1
26	191	rdw	RR	same	rdw_same	right	2.078	6.196	right	38	11.804	1	0	0.534	1	1	1
26	125	rdw	RL	different	rdw_different	right	1.007	4.726	left	22	-7.396	-1	1	0.26	1	1	0
26	6	rdw	LL	same	rdw_same	left	-2.375	2.81	left	8	-5.006	-1	1	0.25	1	1	1
26	147	rdw	RL	different	rdw_different	right	1.346	6.31	left	40	-3.058	-1	1	0.39225	1	1	0
26	24	rdw	LL	same	rdw_same	left	-1.157	4.176	left	17	-2.95	-1	1	0.292	1	1	1
26	42	rdw	LL	same	rdw_same	left	-1.954	6.647	left	44	-13.663	-1	1	0.596	1	1	1
26	143	rdw	RL	different	rdw_different	right	1.486	6.421	left	41	-8.888	-1	1	0.563	1	1	0
